Day,Houston Astros: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States)
10/1/2017,3,6,8,<1,1
10/2/2017,1,2,3,<1,<1
10/3/2017,1,2,3,<1,<1
10/4/2017,2,3,3,<1,<1
10/5/2017,11,13,4,<1,<1
10/6/2017,13,13,10,<1,<1
10/7/2017,4,5,32,<1,<1
10/8/2017,11,16,16,<1,<1
10/9/2017,14,24,23,<1,<1
10/10/2017,4,4,27,<1,<1
10/11/2017,2,3,38,<1,<1
10/12/2017,6,2,27,<1,<1
10/13/2017,7,1,75,<1,<1
10/14/2017,36,1,21,<1,<1
10/15/2017,11,1,53,<1,<1
10/16/2017,7,1,34,<1,<1
10/17/2017,25,1,14,<1,<1
10/18/2017,25,1,49,<1,<1
10/19/2017,13,1,56,<1,<1
10/20/2017,12,1,48,<1,<1
10/21/2017,52,1,4,<1,<1
10/22/2017,67,2,3,<1,<1
10/23/2017,8,1,2,<1,<1
10/24/2017,11,1,2,<1,<1
10/25/2017,26,1,2,<1,<1
10/26/2017,44,1,2,<1,<1
10/27/2017,13,1,2,<1,<1
10/28/2017,63,1,2,<1,<1
10/29/2017,55,1,2,<1,<1
10/30/2017,78,1,2,<1,<1
10/31/2017,16,1,1,<1,<1
11/1/2017,60,1,2,<1,<1
11/2/2017,100,1,2,<1,<1
