Day,New York Yankees: (United States),Cleveland Guardians: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States)
11/1/2018,13,3,1,1,4
11/2/2018,13,3,1,1,3
11/3/2018,15,3,1,2,4
11/4/2018,14,3,1,2,4
11/5/2018,12,3,1,1,3
11/6/2018,14,3,1,1,3
11/7/2018,14,3,1,1,3
11/8/2018,14,3,1,1,3
11/9/2018,14,3,1,1,3
11/10/2018,15,3,1,2,3
11/11/2018,15,3,1,2,4
11/12/2018,14,3,1,1,3
11/13/2018,14,3,1,1,3
11/14/2018,15,3,1,1,3
11/15/2018,14,3,1,1,3
11/16/2018,11,3,1,1,3
11/17/2018,17,3,1,2,4
11/18/2018,15,3,1,1,4
11/19/2018,19,4,1,1,3
11/20/2018,25,4,1,1,4
11/21/2018,20,3,1,1,3
11/22/2018,19,4,1,2,3
11/23/2018,16,3,1,2,3
11/24/2018,17,3,1,2,3
11/25/2018,17,3,1,2,3
11/26/2018,16,2,1,1,3
11/27/2018,18,3,1,2,4
11/28/2018,19,2,1,2,3
11/29/2018,20,3,1,2,3
11/30/2018,22,3,1,1,3
12/1/2018,21,5,1,2,3
12/2/2018,20,4,1,2,4
12/3/2018,17,3,1,2,4
12/4/2018,23,3,1,2,3
12/5/2018,21,3,1,2,4
12/6/2018,22,3,1,2,4
12/7/2018,21,4,1,2,7
12/8/2018,24,3,1,2,5
12/9/2018,21,3,1,2,4
12/10/2018,22,3,1,2,4
12/11/2018,36,4,2,2,4
12/12/2018,35,4,2,2,4
12/13/2018,33,8,2,3,5
12/14/2018,25,5,2,2,4
12/15/2018,24,5,1,2,4
12/16/2018,22,4,2,2,4
12/17/2018,19,3,1,2,4
12/18/2018,20,4,1,2,7
12/19/2018,23,4,1,2,5
12/20/2018,25,4,1,2,4
12/21/2018,24,4,2,2,4
12/22/2018,23,4,2,2,4
12/23/2018,23,3,1,1,4
12/24/2018,18,3,1,2,4
12/25/2018,19,3,1,1,4
12/26/2018,19,3,1,2,4
12/27/2018,19,3,1,2,3
12/28/2018,17,3,1,2,3
12/29/2018,20,3,1,2,4
12/30/2018,18,3,1,2,4
12/31/2018,18,3,1,2,3
1/1/2019,22,3,1,2,4
1/2/2019,26,3,1,2,3
1/3/2019,24,3,2,2,4
1/4/2019,21,3,1,1,3
1/5/2019,21,3,2,2,4
1/6/2019,24,3,2,2,4
1/7/2019,22,3,1,1,3
1/8/2019,19,3,1,2,3
1/9/2019,20,3,1,2,3
1/10/2019,20,3,1,2,3
1/11/2019,26,3,2,2,3
1/12/2019,24,3,2,2,4
1/13/2019,20,3,2,2,3
1/14/2019,20,3,1,2,3
1/15/2019,20,3,2,2,3
1/16/2019,22,3,1,2,3
1/17/2019,22,3,1,2,3
1/18/2019,23,3,2,2,3
1/19/2019,21,3,2,2,3
1/20/2019,22,3,2,2,3
1/21/2019,22,3,1,2,3
1/22/2019,20,3,1,2,3
1/23/2019,20,3,2,2,3
1/24/2019,19,3,1,2,3
1/25/2019,17,3,1,2,3
1/26/2019,19,2,2,2,4
1/27/2019,18,3,2,2,4
1/28/2019,16,2,1,2,3
1/29/2019,17,2,1,2,3
1/30/2019,17,2,1,2,3
1/31/2019,17,3,2,2,3
2/1/2019,17,2,2,2,4
2/2/2019,16,2,1,2,4
2/3/2019,17,3,2,2,3
2/4/2019,17,3,2,2,4
2/5/2019,17,3,2,2,4
2/6/2019,17,3,2,2,3
2/7/2019,18,3,2,2,4
2/8/2019,19,3,1,2,4
2/9/2019,22,3,2,2,4
2/10/2019,24,3,2,2,4
2/11/2019,19,3,2,2,3
2/12/2019,20,3,2,2,4
2/13/2019,20,3,2,2,4
2/14/2019,18,3,2,2,4
2/15/2019,19,3,2,2,4
2/16/2019,21,3,3,3,4
2/17/2019,20,3,2,3,4
2/18/2019,18,3,2,3,4
2/19/2019,20,3,2,3,5
2/20/2019,18,3,2,3,5
2/21/2019,18,4,2,4,4
2/22/2019,18,3,2,4,5
2/23/2019,24,6,3,5,7
2/24/2019,23,6,3,5,10
2/25/2019,21,5,3,4,7
2/26/2019,20,5,4,4,6
2/27/2019,18,4,4,4,5
2/28/2019,19,4,3,4,5
3/1/2019,18,4,3,4,5
3/2/2019,21,5,3,4,6
3/3/2019,21,4,3,5,7
3/4/2019,16,4,3,4,5
3/5/2019,18,4,3,4,5
3/6/2019,18,4,3,3,5
