Day,Houston Astros: (United States),Cleveland Guardians: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Kansas City Royals: (United States)
6/1/2019,5,3,3,2,1
6/2/2019,6,2,3,2,1
6/3/2019,3,1,1,1,1
6/4/2019,4,2,1,1,1
6/5/2019,4,3,2,2,1
6/6/2019,5,3,2,2,1
6/7/2019,4,2,1,1,1
6/8/2019,7,4,2,3,2
6/9/2019,5,4,2,2,1
6/10/2019,2,1,1,1,1
6/11/2019,2,2,3,1,1
6/12/2019,4,3,3,1,1
6/13/2019,5,1,2,2,1
6/14/2019,3,1,2,2,2
6/15/2019,7,3,3,2,1
6/16/2019,5,3,4,2,2
6/17/2019,3,2,2,1,1
6/18/2019,3,2,1,1,1
6/19/2019,4,2,2,1,1
6/20/2019,3,3,3,1,1
6/21/2019,4,2,2,1,1
6/22/2019,4,5,2,2,2
6/23/2019,7,4,3,2,2
6/24/2019,3,2,1,1,1
6/25/2019,3,4,2,1,1
6/26/2019,4,3,2,1,1
6/27/2019,6,2,2,2,1
6/28/2019,3,2,3,1,1
6/29/2019,5,3,4,2,1
6/30/2019,7,3,4,2,1
7/1/2019,2,1,1,1,1
7/2/2019,2,1,1,1,1
7/3/2019,4,2,2,2,1
7/4/2019,4,4,2,2,2
7/5/2019,3,2,1,1,1
7/6/2019,5,3,1,3,2
7/7/2019,7,4,2,3,1
7/8/2019,3,2,1,1,1
7/9/2019,2,2,1,1,1
7/10/2019,2,2,1,1,1
7/11/2019,2,1,1,1,1
7/12/2019,3,2,1,1,1
7/13/2019,4,4,2,2,2
7/14/2019,7,4,5,2,2
7/15/2019,3,2,3,1,1
7/16/2019,4,3,2,1,1
7/17/2019,4,3,3,1,2
7/18/2019,4,3,1,1,2
7/19/2019,4,3,1,1,1
7/20/2019,5,4,2,2,2
7/21/2019,7,5,2,2,2
7/22/2019,3,2,1,1,1
7/23/2019,5,3,1,1,1
7/24/2019,6,4,2,3,1
7/25/2019,3,3,2,1,2
7/26/2019,3,4,1,1,2
7/27/2019,5,4,1,2,2
7/28/2019,7,7,2,2,2
7/29/2019,3,3,1,2,1
7/30/2019,4,3,2,2,1
7/31/2019,9,7,3,4,2
8/1/2019,6,5,1,2,1
8/2/2019,5,4,1,1,1
8/3/2019,7,5,2,2,1
8/4/2019,10,8,3,2,2
8/5/2019,3,3,1,1,1
8/6/2019,3,4,1,2,1
8/7/2019,8,6,2,2,1
8/8/2019,3,3,1,1,2
8/9/2019,3,4,1,2,1
8/10/2019,5,6,1,2,1
8/11/2019,11,10,2,2,1
8/12/2019,3,3,1,1,1
8/13/2019,5,6,2,1,1
8/14/2019,7,8,2,1,1
8/15/2019,3,3,1,2,1
8/16/2019,4,6,1,1,1
8/17/2019,7,7,2,1,2
8/18/2019,4,6,2,2,2
8/19/2019,3,2,1,1,1
8/20/2019,4,2,1,1,1
8/21/2019,4,3,2,1,1
8/22/2019,4,4,1,2,1
8/23/2019,4,5,1,1,1
8/24/2019,6,5,1,2,1
8/25/2019,7,7,2,2,1
8/26/2019,3,2,2,1,1
8/27/2019,2,2,1,1,1
8/28/2019,4,3,2,1,1
8/29/2019,6,4,1,1,1
8/30/2019,3,2,1,1,1
8/31/2019,5,4,1,1,2
9/1/2019,5,4,2,2,1
9/2/2019,5,3,1,1,1
9/3/2019,3,3,1,1,1
9/4/2019,3,3,1,1,1
9/5/2019,2,4,1,1,1
9/6/2019,5,2,1,1,1
9/7/2019,6,4,1,1,1
9/8/2019,7,4,1,1,1
9/9/2019,3,2,1,1,<1
9/10/2019,5,3,1,1,<1
9/11/2019,6,4,1,2,1
9/12/2019,4,3,1,2,1
9/13/2019,4,2,1,1,1
9/14/2019,5,7,1,1,1
9/15/2019,6,6,2,2,1
9/16/2019,2,2,1,1,<1
9/17/2019,3,2,1,1,1
9/18/2019,4,3,1,1,1
9/19/2019,5,4,1,1,1
9/20/2019,3,4,<1,1,1
9/21/2019,7,5,1,1,1
9/22/2019,10,7,1,1,1
9/23/2019,3,4,<1,1,1
9/24/2019,3,2,<1,1,1
9/25/2019,5,4,1,1,1
9/26/2019,5,8,1,1,1
9/27/2019,5,4,1,1,1
9/28/2019,7,4,2,1,2
9/29/2019,9,2,3,1,1
9/30/2019,3,1,1,1,1
10/1/2019,3,1,<1,<1,<1
10/2/2019,3,1,<1,<1,<1
10/3/2019,4,1,<1,<1,<1
10/4/2019,19,1,<1,<1,<1
10/5/2019,10,1,<1,<1,<1
10/6/2019,23,<1,<1,<1,<1
10/7/2019,21,<1,<1,<1,<1
10/8/2019,15,<1,<1,<1,<1
10/9/2019,22,<1,<1,<1,<1
10/10/2019,18,<1,<1,<1,<1
10/11/2019,37,<1,<1,<1,<1
10/12/2019,15,<1,<1,1,<1
10/13/2019,36,1,<1,<1,<1
10/14/2019,47,<1,<1,<1,<1
10/15/2019,40,<1,<1,<1,<1
10/16/2019,31,<1,<1,<1,<1
10/17/2019,24,<1,<1,<1,<1
10/18/2019,68,<1,<1,<1,<1
10/19/2019,63,<1,<1,<1,<1
10/20/2019,100,<1,<1,<1,<1
10/21/2019,12,<1,<1,<1,<1
10/22/2019,18,<1,<1,<1,<1
10/23/2019,59,<1,<1,<1,<1
10/24/2019,59,<1,<1,<1,<1
10/25/2019,18,<1,<1,<1,<1
10/26/2019,70,<1,<1,<1,<1
10/27/2019,74,<1,<1,<1,<1
10/28/2019,57,<1,<1,<1,<1
10/29/2019,22,<1,<1,<1,<1
10/30/2019,81,<1,<1,<1,<1
10/31/2019,92,<1,<1,1,1
