Day,New York Yankees: (United States),Kansas City Royals: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States)
11/1/2018,13,1,2,14,1
11/2/2018,13,1,2,16,1
11/3/2018,15,1,2,15,1
11/4/2018,14,1,2,11,1
11/5/2018,12,1,2,9,2
11/6/2018,14,1,2,9,2
11/7/2018,14,1,2,9,1
11/8/2018,14,1,2,8,1
11/9/2018,14,1,2,9,1
11/10/2018,15,1,2,9,1
11/11/2018,15,1,1,8,1
11/12/2018,14,1,1,7,1
11/13/2018,14,1,1,8,1
11/14/2018,15,1,1,7,1
11/15/2018,14,1,1,7,5
11/16/2018,11,1,1,6,11
11/17/2018,17,1,2,7,5
11/18/2018,15,1,2,7,3
11/19/2018,19,1,1,7,2
11/20/2018,25,1,1,7,2
11/21/2018,20,1,2,8,2
11/22/2018,19,1,1,7,2
11/23/2018,16,1,1,7,1
11/24/2018,17,1,1,7,1
11/25/2018,17,1,1,7,1
11/26/2018,16,1,1,6,1
11/27/2018,18,1,2,7,1
11/28/2018,19,1,2,6,1
11/29/2018,20,1,2,7,1
11/30/2018,22,1,2,8,1
12/1/2018,21,1,2,7,1
12/2/2018,20,1,2,7,1
12/3/2018,17,1,2,7,1
12/4/2018,23,1,2,8,1
12/5/2018,21,1,2,8,1
12/6/2018,22,1,2,8,1
12/7/2018,21,1,4,8,1
12/8/2018,24,1,3,9,1
12/9/2018,21,1,2,8,1
12/10/2018,22,1,2,10,1
12/11/2018,36,2,2,11,2
12/12/2018,35,2,2,13,2
12/13/2018,33,2,3,13,1
12/14/2018,25,2,2,13,1
12/15/2018,24,1,2,12,1
12/16/2018,22,1,2,12,1
12/17/2018,19,1,2,12,1
12/18/2018,20,1,2,11,1
12/19/2018,23,1,3,10,1
12/20/2018,25,1,3,10,1
12/21/2018,24,1,2,21,1
12/22/2018,23,1,2,30,1
12/23/2018,23,1,2,16,1
12/24/2018,18,1,2,13,1
12/25/2018,19,1,2,13,1
12/26/2018,19,3,2,11,1
12/27/2018,19,2,2,11,1
12/28/2018,17,1,2,11,1
12/29/2018,20,1,2,10,1
12/30/2018,18,2,2,9,1
12/31/2018,18,1,2,9,1
1/1/2019,22,1,2,9,1
1/2/2019,26,1,2,10,1
1/3/2019,24,1,2,9,1
1/4/2019,21,1,2,9,1
1/5/2019,21,1,2,9,1
1/6/2019,24,1,2,9,1
1/7/2019,22,1,1,9,1
1/8/2019,19,1,2,9,1
1/9/2019,20,1,2,9,1
1/10/2019,20,1,2,10,1
1/11/2019,26,1,2,12,1
1/12/2019,24,1,2,11,1
1/13/2019,20,1,2,10,1
1/14/2019,20,1,2,10,1
1/15/2019,20,1,2,10,1
1/16/2019,22,1,2,10,1
1/17/2019,22,1,2,10,1
1/18/2019,23,1,2,10,1
1/19/2019,21,1,2,10,1
1/20/2019,22,2,2,10,1
1/21/2019,22,2,2,10,1
1/22/2019,20,2,2,10,1
1/23/2019,20,2,2,10,1
1/24/2019,19,2,2,13,1
1/25/2019,17,2,2,14,1
1/26/2019,19,3,2,16,1
1/27/2019,18,2,2,12,1
1/28/2019,16,2,2,10,1
1/29/2019,17,2,2,10,1
1/30/2019,17,1,2,10,2
1/31/2019,17,2,2,9,1
2/1/2019,17,1,2,9,1
2/2/2019,16,2,2,9,1
2/3/2019,17,2,2,9,1
2/4/2019,17,2,2,9,1
2/5/2019,17,2,2,11,1
2/6/2019,17,2,2,9,2
2/7/2019,18,2,2,10,2
2/8/2019,19,2,2,9,2
2/9/2019,22,2,2,9,2
2/10/2019,24,2,2,9,2
2/11/2019,19,2,2,9,2
2/12/2019,20,2,2,9,2
2/13/2019,20,2,2,9,2
2/14/2019,18,2,2,8,2
2/15/2019,19,2,2,8,1
2/16/2019,21,2,2,9,2
2/17/2019,20,3,2,9,2
2/18/2019,18,2,2,9,2
2/19/2019,20,2,3,11,2
2/20/2019,18,2,2,12,2
2/21/2019,18,2,2,10,2
2/22/2019,18,2,3,9,2
2/23/2019,24,3,4,13,2
2/24/2019,23,4,4,15,3
2/25/2019,21,3,3,15,2
2/26/2019,20,3,4,18,2
2/27/2019,18,3,4,19,2
2/28/2019,19,3,4,20,2
3/1/2019,18,3,3,15,2
3/2/2019,21,4,4,15,2
3/3/2019,21,3,4,13,2
3/4/2019,16,3,3,12,2
3/5/2019,18,3,3,10,2
3/6/2019,18,3,4,10,2
3/7/2019,18,3,3,12,2
3/8/2019,17,3,3,11,2
3/9/2019,20,4,4,13,2
3/10/2019,21,4,3,12,2
3/11/2019,16,3,3,11,2
3/12/2019,19,3,3,10,2
3/13/2019,20,3,3,10,2
3/14/2019,18,3,4,12,2
3/15/2019,18,3,4,11,2
3/16/2019,20,3,4,13,2
3/17/2019,24,3,4,12,2
3/18/2019,18,3,3,10,2
