Day,Houston Astros: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States),Milwaukee Brewers: (United States)
6/1/2019,5,1,9,1,4
6/2/2019,6,2,12,1,6
6/3/2019,3,1,4,1,2
6/4/2019,4,1,6,1,2
6/5/2019,4,1,8,1,4
6/6/2019,5,2,3,1,4
6/7/2019,4,1,3,1,2
6/8/2019,7,2,7,1,5
6/9/2019,5,2,9,1,5
6/10/2019,2,1,4,1,2
6/11/2019,2,2,7,1,2
6/12/2019,4,3,7,1,3
6/13/2019,5,1,4,1,4
6/14/2019,3,1,7,<1,2
6/15/2019,7,2,9,1,5
6/16/2019,5,1,9,1,4
6/17/2019,3,1,7,<1,2
6/18/2019,3,1,7,1,3
6/19/2019,4,1,7,1,4
6/20/2019,3,1,7,1,2
6/21/2019,4,1,8,1,3
6/22/2019,4,2,9,1,6
6/23/2019,7,2,14,1,4
6/24/2019,3,2,6,<1,2
6/25/2019,3,1,7,1,2
6/26/2019,4,2,8,1,3
6/27/2019,6,2,4,1,4
6/28/2019,3,2,7,1,2
6/29/2019,5,2,9,1,4
6/30/2019,7,2,9,1,6
7/1/2019,2,6,4,<1,2
7/2/2019,2,8,4,<1,3
7/3/2019,4,6,8,1,3
7/4/2019,4,3,9,1,4
7/5/2019,3,2,8,<1,2
7/6/2019,5,2,9,1,5
7/7/2019,7,3,10,1,5
7/8/2019,3,2,3,<1,1
7/9/2019,2,1,3,<1,1
7/10/2019,2,1,3,<1,1
7/11/2019,2,1,3,<1,1
7/12/2019,3,1,3,<1,2
7/13/2019,4,7,7,1,5
7/14/2019,7,4,9,1,7
7/15/2019,3,2,10,<1,2
7/16/2019,4,2,7,<1,3
7/17/2019,4,3,7,1,5
7/18/2019,4,2,12,1,2
7/19/2019,4,2,4,<1,4
7/20/2019,5,2,8,1,4
7/21/2019,7,2,11,1,5
7/22/2019,3,1,5,<1,3
7/23/2019,5,1,5,<1,4
7/24/2019,6,3,9,<1,4
7/25/2019,3,3,8,1,2
7/26/2019,3,3,5,<1,2
7/27/2019,5,2,9,1,6
7/28/2019,7,3,8,1,9
7/29/2019,3,1,4,1,3
7/30/2019,4,2,7,1,3
7/31/2019,9,2,11,1,6
8/1/2019,6,1,6,1,5
8/2/2019,5,1,8,<1,4
8/3/2019,7,1,9,1,4
8/4/2019,10,2,10,1,3
8/5/2019,3,1,6,1,2
8/6/2019,3,1,8,1,3
8/7/2019,8,1,11,1,4
8/8/2019,3,1,4,1,3
8/9/2019,3,1,4,1,2
8/10/2019,5,2,9,1,6
8/11/2019,11,2,11,1,7
8/12/2019,3,1,4,<1,2
8/13/2019,5,1,4,<1,2
8/14/2019,7,1,6,1,7
8/15/2019,3,1,8,1,2
8/16/2019,4,1,4,<1,2
8/17/2019,7,2,8,<1,4
8/18/2019,4,2,10,1,9
8/19/2019,3,1,3,<1,2
8/20/2019,4,1,3,<1,3
8/21/2019,4,1,7,1,3
8/22/2019,4,1,7,<1,4
8/23/2019,4,1,8,1,2
8/24/2019,6,1,20,1,4
8/25/2019,7,1,11,1,6
8/26/2019,3,1,7,<1,2
8/27/2019,2,1,5,<1,3
8/28/2019,4,1,6,<1,4
8/29/2019,6,1,7,<1,2
8/30/2019,3,1,6,<1,2
8/31/2019,5,2,7,<1,3
9/1/2019,5,2,9,<1,3
9/2/2019,5,1,6,<1,4
9/3/2019,3,1,7,<1,2
9/4/2019,3,1,6,<1,3
9/5/2019,2,1,6,<1,2
9/6/2019,5,1,3,<1,4
9/7/2019,6,1,8,<1,4
9/8/2019,7,1,10,<1,7
9/9/2019,3,1,3,<1,3
9/10/2019,5,1,3,<1,3
9/11/2019,6,1,6,<1,4
9/12/2019,4,1,5,<1,6
9/13/2019,4,1,5,<1,3
9/14/2019,5,1,6,<1,5
9/15/2019,6,1,6,<1,8
9/16/2019,2,1,5,<1,3
9/17/2019,3,1,3,<1,5
9/18/2019,4,1,7,<1,6
9/19/2019,5,1,7,<1,8
9/20/2019,3,1,3,<1,5
9/21/2019,7,1,8,1,10
9/22/2019,10,1,8,1,12
9/23/2019,3,<1,3,<1,3
9/24/2019,3,<1,3,<1,3
9/25/2019,5,1,5,<1,8
9/26/2019,5,1,6,<1,11
