Day,New York Yankees: (United States),Milwaukee Brewers: (United States),Minnesota Twins: (United States),New York Mets: (United States),Philadelphia Phillies: (United States)
11/1/2018,13,3,2,4,2
11/2/2018,13,3,2,5,3
11/3/2018,15,3,2,5,4
11/4/2018,14,3,1,4,3
11/5/2018,12,3,1,5,3
11/6/2018,14,3,1,5,3
11/7/2018,14,2,1,4,3
11/8/2018,14,2,1,5,5
11/9/2018,14,3,1,5,5
11/10/2018,15,3,2,4,4
11/11/2018,15,2,1,4,3
11/12/2018,14,2,1,4,3
11/13/2018,14,2,1,5,3
11/14/2018,15,2,1,5,3
11/15/2018,14,2,1,5,3
11/16/2018,11,2,1,5,3
11/17/2018,17,2,1,5,3
11/18/2018,15,2,1,4,3
11/19/2018,19,2,1,5,3
11/20/2018,25,2,1,5,3
11/21/2018,20,2,1,6,3
11/22/2018,19,3,1,5,3
11/23/2018,16,2,1,5,3
11/24/2018,17,3,1,5,3
11/25/2018,17,2,1,5,3
11/26/2018,16,2,1,5,3
11/27/2018,18,2,2,7,4
11/28/2018,19,3,1,8,5
11/29/2018,20,3,1,12,4
11/30/2018,22,3,1,25,4
12/1/2018,21,3,1,14,4
12/2/2018,20,3,1,16,5
12/3/2018,17,3,1,12,11
12/4/2018,23,3,1,13,9
12/5/2018,21,3,1,14,7
12/6/2018,22,3,2,12,6
12/7/2018,21,3,2,10,7
12/8/2018,24,3,2,10,7
12/9/2018,21,3,1,9,6
12/10/2018,22,3,2,10,6
12/11/2018,36,4,2,19,11
12/12/2018,35,4,2,17,12
12/13/2018,33,4,2,17,10
12/14/2018,25,4,2,13,8
12/15/2018,24,4,2,12,7
12/16/2018,22,4,1,14,6
12/17/2018,19,3,2,14,6
12/18/2018,20,3,2,12,6
12/19/2018,23,3,2,11,7
12/20/2018,25,3,2,11,9
12/21/2018,24,4,2,10,9
12/22/2018,23,5,2,10,7
12/23/2018,23,4,2,10,5
12/24/2018,18,3,1,9,5
12/25/2018,19,3,1,8,5
12/26/2018,19,3,1,8,5
12/27/2018,19,4,3,8,5
12/28/2018,17,3,2,7,5
12/29/2018,20,3,2,7,5
12/30/2018,18,3,1,7,4
12/31/2018,18,3,2,6,4
1/1/2019,22,3,2,7,5
1/2/2019,26,3,2,7,6
1/3/2019,24,3,2,8,7
1/4/2019,21,4,2,7,7
1/5/2019,21,5,2,9,6
1/6/2019,24,4,2,10,6
1/7/2019,22,4,2,9,5
1/8/2019,19,4,2,8,6
1/9/2019,20,4,2,7,5
1/10/2019,20,7,2,8,7
1/11/2019,26,6,2,11,8
1/12/2019,24,5,2,9,10
1/13/2019,20,4,2,8,10
1/14/2019,20,4,2,7,10
1/15/2019,20,4,2,7,9
1/16/2019,22,4,2,8,9
1/17/2019,22,4,2,8,9
1/18/2019,23,4,2,7,8
1/19/2019,21,4,2,7,8
1/20/2019,22,4,2,7,7
1/21/2019,22,4,2,7,7
1/22/2019,20,5,2,7,7
1/23/2019,20,4,3,7,7
1/24/2019,19,4,3,7,7
1/25/2019,17,4,2,7,6
1/26/2019,19,4,2,7,6
1/27/2019,18,5,2,7,6
1/28/2019,16,3,2,7,7
1/29/2019,17,3,2,7,17
1/30/2019,17,4,2,7,10
1/31/2019,17,4,2,6,7
2/1/2019,17,4,2,6,6
2/2/2019,16,4,2,7,7
