Day,New York Yankees: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States),Seattle Mariners: (United States)
11/1/2018,13,1,1,4,1
11/2/2018,13,1,1,3,1
11/3/2018,15,2,1,3,1
11/4/2018,14,2,1,3,1
11/5/2018,12,2,1,3,1
11/6/2018,14,1,1,3,2
11/7/2018,14,1,1,4,1
11/8/2018,14,2,1,4,3
11/9/2018,14,2,1,3,3
11/10/2018,15,2,1,3,3
11/11/2018,15,1,1,3,3
11/12/2018,14,1,1,3,2
11/13/2018,14,1,1,4,3
11/14/2018,15,1,1,2,3
11/15/2018,14,2,1,2,2
11/16/2018,11,1,1,2,2
11/17/2018,17,1,1,3,2
11/18/2018,15,1,1,3,2
11/19/2018,19,1,1,2,3
11/20/2018,25,1,2,3,4
11/21/2018,20,2,2,2,3
11/22/2018,19,2,1,3,2
11/23/2018,16,1,1,3,2
11/24/2018,17,1,1,2,2
11/25/2018,17,1,1,3,2
11/26/2018,16,1,1,3,2
11/27/2018,18,2,1,3,3
11/28/2018,19,1,1,3,2
11/29/2018,20,2,2,2,3
11/30/2018,22,1,1,2,7
12/1/2018,21,2,2,3,5
12/2/2018,20,1,1,3,6
12/3/2018,17,2,1,3,6
12/4/2018,23,1,1,3,5
12/5/2018,21,2,2,3,4
12/6/2018,22,2,2,3,3
12/7/2018,21,3,1,3,3
12/8/2018,24,2,1,3,3
12/9/2018,21,2,1,4,2
12/10/2018,22,2,2,3,3
12/11/2018,36,3,2,4,3
12/12/2018,35,3,2,4,3
12/13/2018,33,3,2,4,4
12/14/2018,25,2,2,3,3
12/15/2018,24,2,2,3,3
12/16/2018,22,2,1,3,2
12/17/2018,19,2,1,3,2
12/18/2018,20,2,1,3,2
12/19/2018,23,2,2,3,2
12/20/2018,25,2,1,3,2
12/21/2018,24,2,2,4,3
12/22/2018,23,3,1,4,3
12/23/2018,23,2,2,3,2
12/24/2018,18,2,1,3,2
12/25/2018,19,2,2,3,2
12/26/2018,19,2,1,3,2
12/27/2018,19,2,2,3,2
12/28/2018,17,2,2,3,2
12/29/2018,20,2,1,3,2
12/30/2018,18,2,2,3,2
12/31/2018,18,2,2,2,2
