Day,Houston Astros: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States),Seattle Mariners: (United States)
10/1/2017,3,1,<1,4,1
10/2/2017,1,<1,<1,1,<1
10/3/2017,1,<1,<1,1,<1
10/4/2017,2,<1,<1,1,<1
10/5/2017,11,<1,<1,<1,<1
10/6/2017,13,<1,<1,<1,<1
10/7/2017,4,<1,<1,<1,<1
10/8/2017,11,<1,<1,3,<1
10/9/2017,14,<1,<1,1,<1
10/10/2017,4,<1,<1,<1,<1
10/11/2017,2,<1,<1,<1,<1
10/12/2017,6,<1,<1,<1,<1
10/13/2017,7,<1,<1,<1,<1
10/14/2017,36,<1,<1,<1,<1
10/15/2017,11,<1,<1,1,<1
10/16/2017,7,<1,<1,1,<1
10/17/2017,25,<1,<1,<1,<1
10/18/2017,25,<1,<1,<1,<1
10/19/2017,13,<1,<1,<1,<1
10/20/2017,12,<1,<1,1,<1
10/21/2017,52,<1,<1,1,<1
10/22/2017,67,<1,<1,1,<1
10/23/2017,8,<1,<1,1,<1
10/24/2017,11,<1,<1,<1,<1
10/25/2017,26,<1,<1,<1,<1
10/26/2017,44,<1,<1,1,<1
10/27/2017,13,<1,<1,<1,<1
10/28/2017,63,<1,<1,<1,<1
10/29/2017,55,<1,<1,1,<1
10/30/2017,78,<1,<1,1,<1
10/31/2017,16,<1,<1,<1,<1
11/1/2017,60,<1,<1,<1,<1
11/2/2017,100,<1,<1,1,<1
