Day,New York Yankees: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
11/1/2018,13,4,1,2,1
11/2/2018,13,4,1,2,1
11/3/2018,15,4,1,2,2
11/4/2018,14,5,1,2,1
11/5/2018,12,4,1,2,1
11/6/2018,14,4,1,2,1
11/7/2018,14,3,1,2,1
11/8/2018,14,5,1,2,1
11/9/2018,14,5,1,2,1
11/10/2018,15,5,1,2,2
11/11/2018,15,6,1,2,1
11/12/2018,14,4,1,2,1
11/13/2018,14,4,1,2,1
11/14/2018,15,3,1,1,1
11/15/2018,14,4,1,2,1
11/16/2018,11,4,1,2,1
11/17/2018,17,4,1,2,2
11/18/2018,15,8,1,2,1
11/19/2018,19,8,1,1,1
11/20/2018,25,5,1,2,2
11/21/2018,20,5,1,2,1
11/22/2018,19,4,1,2,1
11/23/2018,16,4,1,2,1
11/24/2018,17,4,1,2,1
11/25/2018,17,7,1,1,1
11/26/2018,16,5,1,1,1
11/27/2018,18,6,1,2,1
11/28/2018,19,6,1,2,1
11/29/2018,20,5,1,1,1
11/30/2018,22,6,1,2,2
12/1/2018,21,5,1,2,3
12/2/2018,20,7,1,2,2
12/3/2018,17,7,1,2,2
12/4/2018,23,7,1,2,3
12/5/2018,21,12,1,2,3
12/6/2018,22,13,1,2,2
12/7/2018,21,9,1,1,2
12/8/2018,24,8,1,2,2
12/9/2018,21,9,1,2,2
12/10/2018,22,9,1,2,2
12/11/2018,36,9,2,2,2
12/12/2018,35,10,2,2,2
12/13/2018,33,8,3,3,3
12/14/2018,25,8,2,2,2
12/15/2018,24,8,1,2,2
12/16/2018,22,9,1,2,2
12/17/2018,19,7,1,2,2
12/18/2018,20,7,1,2,2
12/19/2018,23,7,1,2,2
12/20/2018,25,6,1,1,2
12/21/2018,24,11,1,3,2
12/22/2018,23,8,1,2,2
12/23/2018,23,10,1,2,2
12/24/2018,18,8,1,2,2
12/25/2018,19,7,1,2,2
12/26/2018,19,6,1,1,2
12/27/2018,19,6,1,1,2
12/28/2018,17,6,2,2,2
12/29/2018,20,5,1,2,2
12/30/2018,18,7,1,1,2
12/31/2018,18,6,1,1,1
1/1/2019,22,5,1,1,2
1/2/2019,26,5,1,2,2
1/3/2019,24,5,1,2,2
1/4/2019,21,5,1,2,2
1/5/2019,21,5,1,2,2
1/6/2019,24,4,1,2,2
1/7/2019,22,4,1,1,2
1/8/2019,19,5,1,1,2
1/9/2019,20,5,1,2,2
1/10/2019,20,5,1,2,2
1/11/2019,26,5,1,2,2
1/12/2019,24,5,1,2,2
1/13/2019,20,5,1,2,2
1/14/2019,20,5,1,2,2
1/15/2019,20,4,1,2,2
1/16/2019,22,4,1,2,2
1/17/2019,22,4,1,2,2
1/18/2019,23,4,1,2,2
1/19/2019,21,5,1,2,2
1/20/2019,22,5,1,2,2
1/21/2019,22,5,1,2,2
1/22/2019,20,4,1,3,2
1/23/2019,20,5,1,2,2
1/24/2019,19,4,1,2,2
1/25/2019,17,4,1,2,1
1/26/2019,19,4,1,3,2
1/27/2019,18,4,1,2,1
1/28/2019,16,4,1,2,1
1/29/2019,17,4,1,2,1
1/30/2019,17,4,1,2,1
1/31/2019,17,4,1,2,2
2/1/2019,17,4,1,2,1
2/2/2019,16,5,1,2,2
2/3/2019,17,5,1,2,1
2/4/2019,17,5,1,2,2
2/5/2019,17,5,2,2,2
2/6/2019,17,4,1,2,2
2/7/2019,18,5,1,2,2
2/8/2019,19,5,1,2,2
2/9/2019,22,5,2,2,2
2/10/2019,24,5,2,2,2
2/11/2019,19,5,2,2,2
2/12/2019,20,8,1,2,2
2/13/2019,20,5,1,2,2
2/14/2019,18,4,1,2,2
2/15/2019,19,4,1,2,2
2/16/2019,21,5,1,2,2
2/17/2019,20,5,1,2,2
2/18/2019,18,5,1,2,2
2/19/2019,20,5,1,2,3
2/20/2019,18,5,1,2,3
2/21/2019,18,5,1,2,3
2/22/2019,18,5,2,2,3
2/23/2019,24,9,2,3,4
2/24/2019,23,10,3,4,6
2/25/2019,21,6,2,3,4
2/26/2019,20,7,2,3,3
2/27/2019,18,7,2,3,3
2/28/2019,19,6,2,3,5
3/1/2019,18,6,2,3,5
3/2/2019,21,8,3,3,5
3/3/2019,21,8,2,4,5
3/4/2019,16,7,2,3,4
3/5/2019,18,7,2,3,4
3/6/2019,18,6,2,3,3
3/7/2019,18,6,2,3,3
3/8/2019,17,6,1,3,3
3/9/2019,20,9,2,3,4
3/10/2019,21,7,3,3,4
3/11/2019,16,7,2,3,4
3/12/2019,19,8,2,4,3
3/13/2019,20,7,2,3,4
3/14/2019,18,7,2,3,3
3/15/2019,18,7,2,3,4
3/16/2019,20,9,2,3,4
3/17/2019,24,8,2,4,4
3/18/2019,18,7,2,4,4
3/19/2019,20,6,2,5,4
3/20/2019,21,8,2,4,3
3/21/2019,17,8,2,4,3
3/22/2019,17,8,2,4,3
3/23/2019,22,9,3,5,4
3/24/2019,23,10,3,6,5
3/25/2019,19,9,3,6,7
3/26/2019,19,9,3,9,6
3/27/2019,23,10,4,8,6
3/28/2019,100,35,10,32,21
3/29/2019,46,15,6,16,8
3/30/2019,64,33,9,17,15
3/31/2019,79,29,9,30,13
4/1/2019,44,21,5,15,7
4/2/2019,46,15,7,15,13
4/3/2019,51,18,9,15,31
4/4/2019,48,20,4,15,12
4/5/2019,34,33,6,15,7
4/6/2019,42,30,7,19,11
4/7/2019,76,25,7,13,11
4/8/2019,34,15,6,8,7
4/9/2019,42,20,6,7,8
4/10/2019,46,23,8,10,10
4/11/2019,40,34,5,10,9
4/12/2019,31,15,4,8,7
4/13/2019,65,19,11,15,15
4/14/2019,47,27,7,16,11
4/15/2019,22,15,4,8,5
4/16/2019,39,20,6,11,6
4/17/2019,52,24,9,12,9
4/18/2019,51,13,9,12,11
4/19/2019,47,15,11,9,6
4/20/2019,73,31,12,16,9
4/21/2019,71,26,17,26,10
4/22/2019,31,16,6,9,5
4/23/2019,49,21,6,10,7
4/24/2019,48,32,8,11,9
4/25/2019,51,15,4,7,5
4/26/2019,43,16,4,8,7
4/27/2019,62,32,8,11,13
4/28/2019,57,24,8,14,13
4/29/2019,34,15,4,8,7
4/30/2019,29,19,6,7,8
5/1/2019,49,20,8,13,8
5/2/2019,27,25,6,6,11
5/3/2019,28,23,5,6,8
5/4/2019,61,23,7,14,8
5/5/2019,54,23,9,15,11
5/6/2019,37,21,5,6,5
5/7/2019,38,21,7,5,6
5/8/2019,54,24,10,9,8
5/9/2019,37,14,5,6,5
5/10/2019,39,21,6,8,7
5/11/2019,58,39,13,9,9
5/12/2019,68,26,20,12,11
5/13/2019,40,12,4,5,6
5/14/2019,43,12,4,5,6
5/15/2019,46,16,6,7,8
5/16/2019,41,16,6,9,10
5/17/2019,35,16,4,7,8
5/18/2019,82,26,12,17,15
5/19/2019,56,27,9,16,14
5/20/2019,32,12,4,7,9
5/21/2019,49,14,5,9,7
5/22/2019,45,20,8,12,7
5/23/2019,63,18,9,7,10
5/24/2019,34,13,6,6,7
5/25/2019,65,26,10,11,14
5/26/2019,89,27,11,15,11
5/27/2019,55,26,9,8,11
5/28/2019,39,12,5,8,5
5/29/2019,56,16,8,10,7
5/30/2019,43,22,10,8,7
