Day,Houston Astros: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
6/1/2019,5,6,2,3,2
6/2/2019,6,12,2,2,2
6/3/2019,3,3,1,1,1
6/4/2019,4,3,1,1,1
6/5/2019,4,4,1,2,2
6/6/2019,5,4,1,2,1
6/7/2019,4,3,1,2,1
6/8/2019,7,3,2,3,2
6/9/2019,5,5,2,3,2
6/10/2019,2,3,1,1,1
6/11/2019,2,3,1,2,1
6/12/2019,4,3,2,2,1
6/13/2019,5,3,1,1,1
6/14/2019,3,4,2,2,2
6/15/2019,7,4,3,2,2
6/16/2019,5,4,2,3,2
6/17/2019,3,2,1,1,1
6/18/2019,3,3,1,2,2
6/19/2019,4,3,2,2,3
6/20/2019,3,4,2,2,2
6/21/2019,4,4,2,1,2
6/22/2019,4,8,2,3,3
6/23/2019,7,4,2,4,4
6/24/2019,3,4,1,1,1
6/25/2019,3,2,1,1,1
6/26/2019,4,3,1,2,1
6/27/2019,6,3,2,2,2
6/28/2019,3,2,1,2,2
6/29/2019,5,4,2,2,2
6/30/2019,7,4,2,2,2
7/1/2019,2,2,1,2,1
7/2/2019,2,2,1,2,1
7/3/2019,4,3,1,2,2
7/4/2019,4,4,2,2,3
7/5/2019,3,2,2,2,2
7/6/2019,5,3,3,2,3
7/7/2019,7,4,2,2,2
7/8/2019,3,2,1,1,1
7/9/2019,2,1,1,1,1
7/10/2019,2,1,1,1,1
7/11/2019,2,1,<1,1,1
7/12/2019,3,2,1,2,1
7/13/2019,4,4,2,3,2
7/14/2019,7,4,2,4,3
7/15/2019,3,2,1,1,1
7/16/2019,4,3,2,1,1
7/17/2019,4,4,1,2,2
7/18/2019,4,2,2,2,2
7/19/2019,4,3,1,1,2
7/20/2019,5,5,2,2,2
7/21/2019,7,5,2,2,3
7/22/2019,3,2,1,1,2
7/23/2019,5,4,1,1,2
7/24/2019,6,4,2,2,3
7/25/2019,3,5,1,1,4
7/26/2019,3,3,1,1,2
7/27/2019,5,8,2,2,3
7/28/2019,7,9,2,2,3
7/29/2019,3,3,1,1,2
7/30/2019,4,3,1,1,3
7/31/2019,9,8,2,2,3
8/1/2019,6,6,2,2,1
8/2/2019,5,5,1,1,1
8/3/2019,7,4,2,2,2
8/4/2019,10,8,2,3,3
8/5/2019,3,3,1,1,1
8/6/2019,3,4,1,2,2
8/7/2019,8,7,2,2,2
8/8/2019,3,3,1,1,1
8/9/2019,3,3,1,1,1
8/10/2019,5,5,2,2,2
8/11/2019,11,8,2,2,3
8/12/2019,3,3,1,1,1
8/13/2019,5,2,1,1,2
8/14/2019,7,4,2,1,3
8/15/2019,3,4,1,1,2
8/16/2019,4,4,1,1,1
8/17/2019,7,5,2,2,2
8/18/2019,4,6,2,3,5
8/19/2019,3,3,1,1,1
8/20/2019,4,4,1,2,2
8/21/2019,4,5,2,2,2
8/22/2019,4,6,1,1,2
8/23/2019,4,5,1,1,3
8/24/2019,6,7,1,1,3
8/25/2019,7,9,2,1,4
8/26/2019,3,4,1,1,1
8/27/2019,2,4,1,1,1
8/28/2019,4,7,2,1,2
8/29/2019,6,3,2,1,2
8/30/2019,3,3,1,1,1
8/31/2019,5,8,2,1,3
9/1/2019,5,11,2,2,3
9/2/2019,5,9,1,2,2
9/3/2019,3,3,1,1,1
9/4/2019,3,5,1,1,4
9/5/2019,2,8,1,1,1
9/6/2019,5,3,1,1,1
9/7/2019,6,7,1,1,2
9/8/2019,7,9,2,1,3
9/9/2019,3,4,1,1,1
9/10/2019,5,3,1,1,1
9/11/2019,6,5,1,1,2
9/12/2019,4,7,2,1,2
9/13/2019,4,3,1,1,2
9/14/2019,5,8,2,2,3
9/15/2019,6,11,2,2,2
9/16/2019,2,3,1,1,1
9/17/2019,3,7,1,1,2
9/18/2019,4,8,2,1,2
9/19/2019,5,5,2,1,1
9/20/2019,3,12,1,1,1
9/21/2019,7,11,3,1,3
9/22/2019,10,13,3,1,3
9/23/2019,3,5,1,1,2
9/24/2019,3,7,2,1,3
9/25/2019,5,15,3,1,3
9/26/2019,5,6,3,2,3
9/27/2019,5,4,1,1,2
9/28/2019,7,13,3,2,4
9/29/2019,9,24,2,3,3
9/30/2019,3,5,1,1,2
10/1/2019,3,3,1,1,4
10/2/2019,3,3,3,1,14
10/3/2019,4,9,11,1,3
10/4/2019,19,16,6,1,7
10/5/2019,10,6,3,1,9
10/6/2019,23,16,6,1,4
10/7/2019,21,20,8,<1,10
10/8/2019,15,8,7,<1,9
10/9/2019,22,22,12,<1,4
10/10/2019,18,18,8,<1,25
10/11/2019,37,9,11,<1,6
10/12/2019,15,37,1,1,25
10/13/2019,36,10,1,<1,8
10/14/2019,47,9,<1,<1,8
10/15/2019,40,19,<1,<1,23
10/16/2019,31,18,<1,<1,34
10/17/2019,24,2,<1,<1,4
10/18/2019,68,1,<1,1,3
10/19/2019,63,1,<1,<1,3
10/20/2019,100,3,<1,1,7
10/21/2019,12,1,<1,<1,4
10/22/2019,18,1,<1,<1,7
10/23/2019,59,1,<1,1,32
10/24/2019,59,1,<1,1,34
10/25/2019,18,1,<1,<1,13
10/26/2019,70,1,<1,<1,47
10/27/2019,74,2,<1,<1,40
10/28/2019,57,1,<1,<1,33
10/29/2019,22,1,<1,<1,10
10/30/2019,81,1,<1,1,43
10/31/2019,92,2,<1,1,69
