Day,Chicago Cubs: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States),Kansas City Royals: (United States)
10/1/2015,9,<1,1,4,3
10/2/2015,6,<1,1,3,3
10/3/2015,11,1,1,8,5
10/4/2015,16,1,2,16,5
10/5/2015,7,<1,1,4,3
10/6/2015,8,<1,1,6,2
10/7/2015,28,<1,1,20,4
10/8/2015,77,<1,1,7,7
10/9/2015,33,<1,1,26,24
10/10/2015,61,<1,1,7,7
10/11/2015,39,<1,1,17,17
10/12/2015,40,<1,<1,31,27
10/13/2015,100,<1,1,7,7
10/14/2015,52,<1,1,10,11
10/15/2015,19,<1,<1,17,24
10/16/2015,30,<1,1,2,10
10/17/2015,41,<1,1,1,40
10/18/2015,71,<1,1,1,11
10/19/2015,47,<1,1,1,10
10/20/2015,27,<1,1,<1,34
10/21/2015,75,<1,1,1,28
10/22/2015,70,<1,1,1,15
10/23/2015,6,<1,<1,<1,15
10/24/2015,5,<1,1,<1,55
10/25/2015,3,<1,<1,<1,7
10/26/2015,2,<1,<1,<1,6
10/27/2015,2,<1,<1,<1,12
10/28/2015,2,<1,1,<1,50
10/29/2015,2,<1,<1,<1,29
10/30/2015,1,<1,<1,<1,11
10/31/2015,2,<1,<1,<1,35
11/1/2015,2,<1,1,<1,40
11/2/2015,2,<1,1,<1,58
