Day,Chicago Cubs: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2015,9,7,1,5,1
10/2/2015,6,4,1,5,1
10/3/2015,11,5,1,10,1
10/4/2015,16,9,1,9,2
10/5/2015,7,4,<1,4,2
10/6/2015,8,3,<1,2,1
10/7/2015,28,3,<1,3,1
10/8/2015,77,10,<1,9,1
10/9/2015,33,17,<1,19,1
10/10/2015,61,32,<1,6,1
10/11/2015,39,17,<1,8,1
10/12/2015,40,17,<1,18,1
10/13/2015,100,34,<1,5,1
10/14/2015,52,10,<1,16,<1
10/15/2015,19,3,<1,6,<1
10/16/2015,30,2,<1,2,<1
10/17/2015,41,2,<1,1,1
10/18/2015,71,4,<1,1,1
10/19/2015,47,2,<1,1,<1
10/20/2015,27,1,<1,<1,<1
10/21/2015,75,1,<1,1,<1
10/22/2015,70,2,<1,1,1
10/23/2015,6,1,<1,<1,<1
10/24/2015,5,1,<1,1,<1
10/25/2015,3,2,<1,<1,1
10/26/2015,2,2,<1,<1,<1
10/27/2015,2,4,<1,<1,<1
10/28/2015,2,1,<1,<1,<1
10/29/2015,2,1,<1,<1,1
10/30/2015,1,1,<1,<1,<1
10/31/2015,2,1,<1,<1,<1
11/1/2015,2,3,<1,<1,<1
11/2/2015,2,2,<1,<1,<1
