Day,San Francisco Giants: (United States),Kansas City Royals: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States)
9/30/2014,5,9,2,5,<1
10/1/2014,9,43,4,5,<1
10/2/2014,25,10,5,6,<1
10/3/2014,27,29,15,18,<1
10/4/2014,25,33,14,38,<1
10/5/2014,55,15,8,41,<1
10/6/2014,38,26,10,13,<1
10/7/2014,21,7,2,42,<1
10/8/2014,41,7,2,20,<1
10/9/2014,9,5,1,4,<1
10/10/2014,8,9,1,3,<1
10/11/2014,13,58,1,3,<1
10/12/2014,41,25,1,2,<1
10/13/2014,39,18,1,2,<1
10/14/2014,36,18,1,2,<1
10/15/2014,24,62,1,2,<1
10/16/2014,50,25,1,2,<1
10/17/2014,58,14,1,2,<1
10/18/2014,12,8,1,2,<1
10/19/2014,14,7,1,2,<1
10/20/2014,9,8,1,1,<1
10/21/2014,15,18,1,1,<1
10/22/2014,46,39,1,2,1
10/23/2014,39,40,1,1,2
10/24/2014,18,11,1,2,<1
10/25/2014,55,49,1,2,2
10/26/2014,71,48,1,2,2
10/27/2014,45,30,1,2,1
10/28/2014,18,11,1,1,<1
10/29/2014,59,58,1,2,2
10/30/2014,100,57,1,3,2
