Day,Boston Red Sox: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2013,3,3,6,7,<1
10/2/2013,3,4,3,1,<1
10/3/2013,5,8,8,1,<1
10/4/2013,14,13,6,1,<1
10/5/2013,15,5,5,1,<1
10/6/2013,10,9,3,1,<1
10/7/2013,8,13,3,<1,<1
10/8/2013,15,7,7,<1,<1
10/9/2013,20,8,8,<1,<1
10/10/2013,6,20,1,<1,<1
10/11/2013,7,8,1,<1,<1
10/12/2013,11,35,1,1,<1
10/13/2013,28,10,<1,<1,<1
10/14/2013,29,8,<1,<1,<1
10/15/2013,23,14,<1,<1,<1
10/16/2013,18,26,<1,<1,<1
10/17/2013,24,9,<1,1,<1
10/18/2013,31,11,<1,1,<1
10/19/2013,35,31,<1,<1,<1
10/20/2013,67,9,<1,<1,<1
10/21/2013,11,6,<1,<1,<1
10/22/2013,8,5,<1,<1,<1
10/23/2013,17,9,<1,<1,<1
10/24/2013,47,19,<1,<1,<1
10/25/2013,41,19,<1,<1,1
10/26/2013,17,9,<1,<1,<1
10/27/2013,56,35,<1,<1,<1
10/28/2013,45,28,<1,1,<1
10/29/2013,42,18,<1,<1,<1
10/30/2013,24,7,<1,<1,<1
10/31/2013,100,19,<1,1,<1
