Day,San Francisco Giants: (United States),Arizona Diamondbacks: (United States),Athletics: (United States),Atlanta Braves: (United States),Baltimore Orioles: (United States)
10/1/2012,14,1,1,4,10
10/2/2012,9,1,3,5,9
10/3/2012,11,1,7,6,11
10/4/2012,9,1,4,6,10
10/5/2012,8,<1,2,20,10
10/6/2012,13,<1,3,40,38
10/7/2012,37,<1,5,6,19
10/8/2012,23,<1,1,4,27
10/9/2012,14,<1,1,2,21
10/10/2012,40,<1,4,2,10
10/11/2012,74,<1,7,2,24
10/12/2012,16,<1,6,2,47
10/13/2012,18,<1,1,2,17
10/14/2012,31,<1,1,2,4
10/15/2012,38,<1,1,1,2
10/16/2012,34,<1,<1,1,1
10/17/2012,37,<1,<1,1,1
10/18/2012,36,<1,<1,1,1
10/19/2012,39,<1,<1,1,1
10/20/2012,49,1,1,1,1
10/21/2012,42,1,1,1,1
10/22/2012,63,<1,1,1,1
10/23/2012,90,<1,1,1,1
10/24/2012,30,<1,<1,1,1
10/25/2012,73,<1,1,1,1
10/26/2012,61,<1,<1,1,1
10/27/2012,29,<1,<1,1,1
10/28/2012,81,<1,1,1,1
10/29/2012,100,<1,1,1,1
