Day,San Francisco Giants: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States)
10/1/2012,14,3,3,3,3
10/2/2012,9,5,4,4,3
10/3/2012,11,7,4,2,4
10/4/2012,9,9,2,2,4
10/5/2012,8,4,2,1,3
10/6/2012,13,3,2,1,6
10/7/2012,37,3,2,1,15
10/8/2012,23,2,2,1,12
10/9/2012,14,2,2,1,11
10/10/2012,40,2,2,1,22
10/11/2012,74,3,2,1,36
10/12/2012,16,3,2,1,6
10/13/2012,18,3,2,1,3
10/14/2012,31,2,2,1,2
10/15/2012,38,2,1,1,2
10/16/2012,34,2,1,1,1
10/17/2012,37,2,1,1,1
10/18/2012,36,3,2,1,1
10/19/2012,39,3,2,1,1
10/20/2012,49,3,2,1,1
10/21/2012,42,5,1,1,1
10/22/2012,63,3,2,1,1
10/23/2012,90,3,2,1,1
10/24/2012,30,3,1,1,1
10/25/2012,73,3,2,1,1
10/26/2012,61,2,1,1,1
10/27/2012,29,2,1,1,1
10/28/2012,81,2,2,1,1
10/29/2012,100,2,2,1,1
