Day,San Francisco Giants: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2012,14,7,2,6,4
10/2/2012,9,8,3,7,8
10/3/2012,11,12,2,17,9
10/4/2012,9,9,2,8,5
10/5/2012,8,21,1,9,3
10/6/2012,13,25,1,24,5
10/7/2012,37,18,1,3,11
10/8/2012,23,15,1,2,10
10/9/2012,14,10,1,2,7
10/10/2012,40,25,1,2,19
10/11/2012,74,23,1,2,19
10/12/2012,16,16,1,1,17
10/13/2012,18,56,1,2,45
10/14/2012,31,19,1,1,5
10/15/2012,38,32,1,1,3
10/16/2012,34,23,1,1,2
10/17/2012,37,30,<1,1,1
10/18/2012,36,35,1,1,1
10/19/2012,39,39,1,1,1
10/20/2012,49,36,1,1,1
10/21/2012,42,23,1,1,1
10/22/2012,63,33,1,1,1
10/23/2012,90,38,<1,1,1
10/24/2012,30,4,1,1,1
10/25/2012,73,4,1,1,1
10/26/2012,61,3,1,1,1
10/27/2012,29,2,<1,1,1
10/28/2012,81,3,1,1,1
10/29/2012,100,3,<1,1,1
