Day,St. Louis Cardinals: (United States),Milwaukee Brewers: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States)
9/30/2011,8,7,1,2,19
10/1/2011,15,18,1,2,48
10/2/2011,14,17,1,2,49
10/3/2011,17,10,1,1,16
10/4/2011,16,8,1,2,34
10/5/2011,17,15,1,2,43
10/6/2011,17,17,1,2,23
10/7/2011,17,20,1,2,76
10/8/2011,46,40,1,2,13
10/9/2011,25,27,1,1,7
10/10/2011,14,18,1,1,6
10/11/2011,18,18,1,2,5
10/12/2011,14,10,1,1,4
10/13/2011,26,21,1,1,6
10/14/2011,23,23,1,1,5
10/15/2011,27,23,1,1,5
10/16/2011,29,25,1,1,5
10/17/2011,47,27,1,1,4
10/18/2011,14,3,1,1,4
10/19/2011,19,3,1,1,4
10/20/2011,36,2,1,1,4
10/21/2011,27,2,1,1,4
10/22/2011,13,2,1,1,4
10/23/2011,41,2,1,1,4
10/24/2011,20,2,1,1,3
10/25/2011,25,2,1,1,4
10/26/2011,16,1,1,1,4
10/27/2011,15,1,1,1,4
10/28/2011,81,2,2,2,5
10/29/2011,100,2,1,2,7
