Day,St. Louis Cardinals: (United States),Philadelphia Phillies: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States)
9/30/2011,8,11,1,1,4
10/1/2011,15,25,1,1,4
10/2/2011,14,21,1,1,12
10/3/2011,17,24,1,1,6
10/4/2011,16,20,1,<1,3
10/5/2011,17,26,1,<1,3
10/6/2011,17,19,1,1,3
10/7/2011,17,21,1,<1,4
10/8/2011,46,56,1,1,4
10/9/2011,25,7,1,1,12
10/10/2011,14,5,1,<1,4
10/11/2011,18,4,1,<1,3
10/12/2011,14,3,1,1,3
10/13/2011,26,3,1,<1,3
10/14/2011,23,3,1,1,3
10/15/2011,27,3,1,<1,3
10/16/2011,29,3,2,<1,11
10/17/2011,47,3,1,<1,4
10/18/2011,14,3,2,<1,3
10/19/2011,19,2,1,1,3
10/20/2011,36,3,2,1,3
10/21/2011,27,2,1,1,3
10/22/2011,13,2,1,1,3
10/23/2011,41,3,2,1,6
10/24/2011,20,3,1,1,4
10/25/2011,25,3,1,<1,3
10/26/2011,16,3,1,<1,2
10/27/2011,15,2,1,1,3
10/28/2011,81,3,2,1,4
10/29/2011,100,4,2,1,5
