Day,San Francisco Giants: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States)
10/1/2010,12,7,3,2,4
10/2/2010,32,11,3,2,4
10/3/2010,34,14,2,2,5
10/4/2010,21,4,2,1,5
10/5/2010,10,3,2,1,5
10/6/2010,7,6,2,1,11
10/7/2010,13,4,2,1,6
10/8/2010,29,3,1,1,7
10/9/2010,33,3,2,1,10
10/10/2010,33,3,2,1,8
10/11/2010,25,3,2,1,9
10/12/2010,27,2,1,1,2
10/13/2010,10,2,1,1,1
10/14/2010,9,2,2,1,1
10/15/2010,9,3,1,1,1
10/16/2010,20,3,1,1,1
10/17/2010,47,3,1,1,1
10/18/2010,24,2,1,1,1
10/19/2010,42,3,3,1,1
10/20/2010,25,3,3,1,1
10/21/2010,60,3,2,1,1
10/22/2010,51,3,1,1,1
10/23/2010,53,4,2,1,1
10/24/2010,100,3,2,1,1
10/25/2010,22,3,1,1,1
10/26/2010,22,2,1,1,1
10/27/2010,27,2,1,1,1
10/28/2010,71,2,1,1,1
10/29/2010,56,2,1,1,1
10/30/2010,36,3,1,1,1
10/31/2010,43,2,1,1,1
11/1/2010,55,2,1,1,1
11/2/2010,95,3,2,1,1
