Day,San Francisco Giants: (United States),Milwaukee Brewers: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States)
10/1/2010,12,1,5,4,8
10/2/2010,32,1,6,3,17
10/3/2010,34,1,6,4,27
10/4/2010,21,1,7,5,10
10/5/2010,10,1,5,3,8
10/6/2010,7,1,12,2,14
10/7/2010,13,1,30,2,33
10/8/2010,29,1,13,2,21
10/9/2010,33,1,8,2,18
10/10/2010,33,1,15,2,31
10/11/2010,25,1,3,2,9
10/12/2010,27,1,2,1,8
10/13/2010,10,1,2,1,12
10/14/2010,9,1,2,2,10
10/15/2010,9,1,1,2,16
10/16/2010,20,<1,2,2,67
10/17/2010,47,1,1,2,24
10/18/2010,24,1,1,2,18
10/19/2010,42,1,1,2,41
10/20/2010,25,1,1,2,83
10/21/2010,60,1,1,2,29
10/22/2010,51,1,1,2,27
10/23/2010,53,1,1,3,67
10/24/2010,100,1,1,2,12
10/25/2010,22,<1,1,2,7
10/26/2010,22,<1,1,2,5
10/27/2010,27,1,1,2,5
10/28/2010,71,1,1,2,5
10/29/2010,56,1,1,2,4
10/30/2010,36,1,1,1,4
10/31/2010,43,1,1,1,4
11/1/2010,55,1,1,2,4
11/2/2010,95,1,1,2,5
