Day,San Francisco Giants: (United States),Philadelphia Phillies: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),Seattle Mariners: (United States)
10/1/2010,12,5,1,6,1
10/2/2010,32,8,1,13,2
10/3/2010,34,9,1,18,1
10/4/2010,21,8,2,4,1
10/5/2010,10,7,1,1,1
10/6/2010,7,22,1,1,1
10/7/2010,13,18,1,1,1
10/8/2010,29,18,1,1,1
10/9/2010,33,22,1,1,1
10/10/2010,33,18,1,1,1
10/11/2010,25,20,1,1,1
10/12/2010,27,11,1,1,1
10/13/2010,10,9,1,<1,1
10/14/2010,9,7,1,1,1
10/15/2010,9,8,1,1,1
10/16/2010,20,19,1,1,1
10/17/2010,47,34,1,1,1
10/18/2010,24,24,1,1,1
10/19/2010,42,29,1,1,1
10/20/2010,25,21,1,1,1
10/21/2010,60,34,1,1,1
10/22/2010,51,35,1,1,1
10/23/2010,53,38,1,1,1
10/24/2010,100,51,1,1,1
10/25/2010,22,6,1,1,<1
10/26/2010,22,4,1,1,1
10/27/2010,27,3,1,<1,1
10/28/2010,71,3,1,1,1
10/29/2010,56,2,1,1,1
10/30/2010,36,2,1,1,<1
10/31/2010,43,2,1,1,1
11/1/2010,55,2,1,1,1
11/2/2010,95,2,1,1,1
