Day,San Francisco Giants: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2010,12,2,3,4,1
10/2/2010,32,3,4,5,1
10/3/2010,34,4,9,5,1
10/4/2010,21,2,5,4,1
10/5/2010,10,2,4,4,1
10/6/2010,7,2,14,21,1
10/7/2010,13,2,9,17,1
10/8/2010,29,1,4,8,1
10/9/2010,33,2,6,16,1
10/10/2010,33,3,13,23,1
10/11/2010,25,2,6,5,1
10/12/2010,27,1,7,8,1
10/13/2010,10,1,11,27,1
10/14/2010,9,1,2,9,1
10/15/2010,9,1,1,14,1
10/16/2010,20,1,2,53,1
10/17/2010,47,2,1,19,1
10/18/2010,24,2,1,11,1
10/19/2010,42,1,1,27,1
10/20/2010,25,2,1,69,1
10/21/2010,60,1,1,22,1
10/22/2010,51,1,1,22,<1
10/23/2010,53,1,1,77,1
10/24/2010,100,2,1,21,1
10/25/2010,22,1,1,14,1
10/26/2010,22,1,1,11,1
10/27/2010,27,1,1,20,1
10/28/2010,71,1,1,29,1
10/29/2010,56,1,1,27,1
10/30/2010,36,1,1,19,1
10/31/2010,43,2,1,33,1
11/1/2010,55,2,1,26,1
11/2/2010,95,2,1,19,1
