Day,Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States),Cleveland Guardians: (United States)
10/1/2008,11,30,26,1,1
10/2/2008,21,27,22,1,1
10/3/2008,13,29,10,1,1
10/4/2008,23,16,8,1,<1
10/5/2008,17,37,12,1,1
10/6/2008,26,11,16,1,1
10/7/2008,28,6,6,1,1
10/8/2008,10,4,2,1,1
10/9/2008,10,4,1,1,1
10/10/2008,13,4,2,1,1
10/11/2008,31,3,1,1,1
10/12/2008,36,3,2,1,1
10/13/2008,22,2,1,1,1
10/14/2008,18,3,2,1,1
10/15/2008,20,3,2,1,1
10/16/2008,16,2,1,1,1
10/17/2008,44,3,2,1,1
10/18/2008,27,2,1,1,1
10/19/2008,100,2,2,1,1
10/20/2008,43,2,2,1,1
10/21/2008,7,2,1,1,1
10/22/2008,5,2,1,1,<1
10/23/2008,5,2,1,<1,1
10/24/2008,4,2,1,1,1
10/25/2008,4,2,1,1,<1
10/26/2008,4,2,1,<1,1
10/27/2008,3,2,1,1,1
10/28/2008,3,2,1,1,1
