Day,Boston Red Sox: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States),Milwaukee Brewers: (United States)
10/1/2008,11,5,11,<1,17
10/2/2008,21,8,14,1,8
10/3/2008,13,5,13,1,5
10/4/2008,23,10,10,<1,6
10/5/2008,17,5,19,1,12
10/6/2008,26,10,8,<1,3
10/7/2008,28,9,7,<1,2
10/8/2008,10,3,6,<1,1
10/9/2008,10,2,9,<1,1
10/10/2008,13,2,18,<1,1
10/11/2008,31,2,9,1,1
10/12/2008,36,2,10,<1,1
10/13/2008,22,2,17,1,1
10/14/2008,18,2,16,<1,1
10/15/2008,20,2,10,<1,1
10/16/2008,16,2,12,<1,1
10/17/2008,44,2,4,1,1
10/18/2008,27,1,2,<1,1
10/19/2008,100,2,3,1,1
10/20/2008,43,2,3,1,1
10/21/2008,7,2,2,1,1
10/22/2008,5,2,2,1,1
10/23/2008,5,2,2,1,1
10/24/2008,4,1,1,1,1
10/25/2008,4,1,1,<1,1
10/26/2008,4,2,2,0,1
10/27/2008,3,1,2,<1,1
10/28/2008,3,2,2,<1,1
