Day,Boston Red Sox: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States),Philadelphia Phillies: (United States)
10/1/2008,11,11,4,5,19
10/2/2008,21,2,4,4,10
10/3/2008,13,1,3,4,10
10/4/2008,23,1,3,4,8
10/5/2008,17,1,3,4,15
10/6/2008,26,1,2,3,10
10/7/2008,28,1,2,4,7
10/8/2008,10,1,2,3,6
10/9/2008,10,1,2,3,10
10/10/2008,13,1,2,3,22
10/11/2008,31,1,2,3,12
10/12/2008,36,1,2,3,11
10/13/2008,22,1,2,3,14
10/14/2008,18,1,2,3,20
10/15/2008,20,1,2,4,13
10/16/2008,16,1,2,4,36
10/17/2008,44,1,2,4,11
10/18/2008,27,1,2,4,6
10/19/2008,100,1,2,5,7
10/20/2008,43,1,2,5,12
10/21/2008,7,1,2,4,11
10/22/2008,5,1,2,3,17
10/23/2008,5,1,2,4,25
10/24/2008,4,1,2,3,17
10/25/2008,4,<1,2,3,17
10/26/2008,4,1,2,3,33
10/27/2008,3,1,2,3,37
10/28/2008,3,1,2,3,37
