Day,Boston Red Sox: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2008,11,2,5,1,1
10/2/2008,21,2,12,1,1
10/3/2008,13,1,6,1,1
10/4/2008,23,1,6,<1,1
10/5/2008,17,2,5,1,1
10/6/2008,26,2,6,<1,1
10/7/2008,28,2,11,<1,1
10/8/2008,10,1,4,<1,1
10/9/2008,10,1,5,<1,<1
10/10/2008,13,1,6,<1,1
10/11/2008,31,1,12,1,1
10/12/2008,36,2,15,1,1
10/13/2008,22,2,8,1,1
10/14/2008,18,1,8,<1,1
10/15/2008,20,1,12,<1,1
10/16/2008,16,1,8,<1,1
10/17/2008,44,1,18,<1,1
10/18/2008,27,1,10,<1,1
10/19/2008,100,1,34,<1,1
10/20/2008,43,2,38,1,1
10/21/2008,7,1,12,<1,1
10/22/2008,5,1,12,<1,1
10/23/2008,5,1,16,<1,1
10/24/2008,4,1,13,<1,1
10/25/2008,4,1,7,<1,1
10/26/2008,4,2,15,<1,1
10/27/2008,3,1,8,<1,1
10/28/2008,3,1,11,<1,1
