Day,Boston Red Sox: (United States),Arizona Diamondbacks: (United States),Athletics: (United States),Atlanta Braves: (United States),Baltimore Orioles: (United States)
10/1/2007,16,4,<1,2,1
10/2/2007,12,3,0,2,1
10/3/2007,19,5,<1,2,1
10/4/2007,18,5,<1,2,1
10/5/2007,15,4,<1,1,<1
10/6/2007,32,4,0,1,1
10/7/2007,25,6,<1,1,1
10/8/2007,14,3,<1,1,1
10/9/2007,16,4,<1,1,<1
10/10/2007,12,3,1,1,<1
10/11/2007,12,5,<1,2,1
10/12/2007,22,6,<1,1,1
10/13/2007,30,6,<1,1,<1
10/14/2007,44,2,<1,1,1
10/15/2007,18,3,1,1,1
10/16/2007,25,3,1,1,<1
10/17/2007,26,1,<1,1,1
10/18/2007,18,<1,<1,1,1
10/19/2007,35,1,<1,1,1
10/20/2007,29,<1,<1,1,<1
10/21/2007,62,1,0,1,1
10/22/2007,81,1,<1,2,1
10/23/2007,29,<1,<1,1,1
10/24/2007,33,<1,<1,1,<1
10/25/2007,49,<1,<1,1,1
10/26/2007,46,<1,<1,1,<1
10/27/2007,28,<1,<1,1,1
10/28/2007,56,<1,<1,1,1
10/29/2007,100,<1,1,4,1
