Day,Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States),Cleveland Guardians: (United States)
10/1/2007,16,16,1,1,4
10/2/2007,12,13,1,1,4
10/3/2007,19,18,2,1,4
10/4/2007,18,26,1,1,7
10/5/2007,15,19,1,1,12
10/6/2007,32,16,1,1,13
10/7/2007,25,17,1,1,10
10/8/2007,14,6,1,1,11
10/9/2007,16,5,1,1,19
10/10/2007,12,3,1,1,6
10/11/2007,12,3,1,1,5
10/12/2007,22,3,1,1,8
10/13/2007,30,3,1,1,9
10/14/2007,44,2,1,1,14
10/15/2007,18,2,1,1,8
10/16/2007,25,2,1,1,15
10/17/2007,26,2,1,1,18
10/18/2007,18,2,1,1,11
10/19/2007,35,2,1,1,14
10/20/2007,29,2,1,1,7
10/21/2007,62,2,2,1,16
10/22/2007,81,2,2,1,15
10/23/2007,29,2,1,1,3
10/24/2007,33,1,2,1,2
10/25/2007,49,2,2,<1,2
10/26/2007,46,2,2,1,1
10/27/2007,28,2,1,1,1
10/28/2007,56,2,2,1,1
10/29/2007,100,3,1,1,1
