Day,Boston Red Sox: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States),Milwaukee Brewers: (United States)
10/1/2007,16,4,2,1,2
10/2/2007,12,4,2,<1,1
10/3/2007,19,6,1,1,1
10/4/2007,18,4,1,1,1
10/5/2007,15,3,1,1,1
10/6/2007,32,7,1,1,1
10/7/2007,25,6,1,0,1
10/8/2007,14,3,1,<1,1
10/9/2007,16,2,1,<1,1
10/10/2007,12,2,1,<1,1
10/11/2007,12,2,1,<1,<1
10/12/2007,22,2,1,<1,1
10/13/2007,30,1,1,<1,<1
10/14/2007,44,2,1,<1,<1
10/15/2007,18,2,1,<1,1
10/16/2007,25,2,1,<1,1
10/17/2007,26,2,1,<1,1
10/18/2007,18,1,1,<1,1
10/19/2007,35,2,1,1,1
10/20/2007,29,1,1,1,<1
10/21/2007,62,2,1,<1,<1
10/22/2007,81,2,1,<1,<1
10/23/2007,29,2,1,<1,1
10/24/2007,33,1,1,<1,<1
10/25/2007,49,2,1,<1,1
10/26/2007,46,2,1,<1,<1
10/27/2007,28,2,1,<1,0
10/28/2007,56,2,1,<1,1
10/29/2007,100,2,2,1,1
