Day,Boston Red Sox: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States),Philadelphia Phillies: (United States)
10/1/2007,16,1,13,10,19
10/2/2007,12,1,7,9,11
10/3/2007,19,1,4,9,30
10/4/2007,18,1,3,15,18
10/5/2007,15,1,3,22,5
10/6/2007,32,1,3,23,5
10/7/2007,25,1,2,20,12
10/8/2007,14,1,2,32,3
10/9/2007,16,1,3,36,2
10/10/2007,12,1,2,10,1
10/11/2007,12,1,2,8,1
10/12/2007,22,1,2,6,1
10/13/2007,30,1,2,5,1
10/14/2007,44,1,2,6,1
10/15/2007,18,1,2,5,1
10/16/2007,25,1,2,6,1
10/17/2007,26,1,2,6,1
10/18/2007,18,1,2,8,1
10/19/2007,35,1,2,9,1
10/20/2007,29,1,1,5,1
10/21/2007,62,1,1,5,1
10/22/2007,81,1,2,6,1
10/23/2007,29,1,1,5,1
10/24/2007,33,1,1,5,1
10/25/2007,49,1,2,6,1
10/26/2007,46,1,1,5,1
10/27/2007,28,1,2,5,1
10/28/2007,56,1,1,6,1
10/29/2007,100,1,2,12,3
