Day,St. Louis Cardinals: (United States),Milwaukee Brewers: (United States),Minnesota Twins: (United States),New York Mets: (United States),yankees: (United States)
10/1/2006,21,2,31,15,25
10/2/2006,13,1,35,17,24
10/3/2006,22,2,73,19,32
10/4/2006,15,1,49,44,50
10/5/2006,18,0,15,30,90
10/6/2006,13,1,26,28,33
10/7/2006,19,0,10,22,76
10/8/2006,31,1,6,45,70
10/9/2006,26,1,6,27,40
10/10/2006,16,1,4,22,28
10/11/2006,18,1,4,33,85
10/12/2006,22,1,3,35,46
10/13/2006,21,2,3,36,18
10/14/2006,28,2,3,41,17
10/15/2006,34,0,2,40,15
10/16/2006,35,1,3,42,12
10/17/2006,31,1,3,35,12
10/18/2006,38,1,4,42,11
10/19/2006,30,1,3,62,10
10/20/2006,90,1,3,76,13
10/21/2006,30,0,3,16,11
10/22/2006,44,0,3,12,11
10/23/2006,30,1,3,10,10
10/24/2006,25,1,3,7,9
10/25/2006,45,1,2,6,10
10/26/2006,37,1,4,6,10
10/27/2006,54,1,4,7,11
10/28/2006,100,0,4,6,11
