Day,St. Louis Cardinals: (United States),Philadelphia Phillies: (United States),Pittsburgh Pirates: (United States),San Diego Padres: (United States),San Francisco Giants: (United States)
10/1/2006,21,8,6,13,8
10/2/2006,13,3,5,13,6
10/3/2006,22,3,4,24,5
10/4/2006,15,2,4,9,3
10/5/2006,18,2,3,17,3
10/6/2006,13,2,3,7,3
10/7/2006,19,2,4,10,4
10/8/2006,31,1,5,20,7
10/9/2006,26,2,3,10,5
10/10/2006,16,2,3,3,4
10/11/2006,18,3,4,2,3
10/12/2006,22,2,4,2,4
10/13/2006,21,2,3,2,4
10/14/2006,28,2,4,2,3
10/15/2006,34,2,3,2,6
10/16/2006,35,2,3,2,3
10/17/2006,31,2,3,1,4
10/18/2006,38,3,3,1,3
10/19/2006,30,1,3,2,3
10/20/2006,90,2,4,1,3
10/21/2006,30,2,3,0,4
10/22/2006,44,3,4,2,3
10/23/2006,30,2,3,1,5
10/24/2006,25,2,4,1,7
10/25/2006,45,1,4,0,4
10/26/2006,37,1,4,1,3
10/27/2006,54,1,5,2,5
10/28/2006,100,2,6,3,4
