Day,St. Louis Cardinals: (United States),Seattle Mariners: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2006,21,3,0,0,5
10/2/2006,13,2,0,2,3
10/3/2006,22,2,1,1,2
10/4/2006,15,2,2,3,1
10/5/2006,18,1,0,1,3
10/6/2006,13,2,1,1,2
10/7/2006,19,2,0,0,2
10/8/2006,31,3,2,0,1
10/9/2006,26,1,0,1,2
10/10/2006,16,1,1,1,2
10/11/2006,18,0,0,1,2
10/12/2006,22,1,2,0,2
10/13/2006,21,1,1,0,2
10/14/2006,28,1,0,0,3
10/15/2006,34,2,0,0,2
10/16/2006,35,1,1,1,2
10/17/2006,31,5,1,2,3
10/18/2006,38,1,0,1,2
10/19/2006,30,2,1,1,1
10/20/2006,90,0,1,1,2
10/21/2006,30,2,1,0,1
10/22/2006,44,2,2,0,2
10/23/2006,30,1,1,1,2
10/24/2006,25,1,0,1,1
10/25/2006,45,1,0,1,3
10/26/2006,37,1,1,1,2
10/27/2006,54,1,1,1,2
10/28/2006,100,1,0,1,1
