Day,Chicago White Sox: (United States),Arizona Diamondbacks: (United States),Athletics: (United States),Atlanta Braves: (United States),Baltimore Orioles: (United States)
10/1/2005,10,0,0,5,1
10/2/2005,12,1,0,7,0
10/3/2005,16,0,1,7,2
10/4/2005,28,0,1,7,1
10/5/2005,18,0,0,13,1
10/6/2005,26,0,1,10,1
10/7/2005,25,0,0,10,1
10/8/2005,21,0,0,8,1
10/9/2005,10,0,0,19,0
10/10/2005,13,0,0,9,1
10/11/2005,22,1,1,5,1
10/12/2005,21,0,1,4,1
10/13/2005,29,0,1,3,1
10/14/2005,18,0,1,3,1
10/15/2005,25,0,0,0,1
10/16/2005,30,0,0,2,1
10/17/2005,58,0,0,2,0
10/18/2005,62,1,0,2,1
10/19/2005,21,0,1,2,1
10/20/2005,23,0,1,3,2
10/21/2005,25,0,1,3,1
10/22/2005,31,0,0,2,0
10/23/2005,41,0,0,2,2
10/24/2005,40,0,1,2,1
10/25/2005,23,0,0,2,1
10/26/2005,60,0,1,2,1
10/27/2005,100,0,1,2,1
