Day,Chicago White Sox: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States),Kansas City Royals: (United States)
10/1/2005,10,0,2,7,0
10/2/2005,12,0,1,9,0
10/3/2005,16,1,2,7,0
10/4/2005,28,0,2,5,0
10/5/2005,18,1,3,14,1
10/6/2005,26,1,2,9,0
10/7/2005,25,0,2,8,0
10/8/2005,21,0,1,6,1
10/9/2005,10,0,2,22,0
10/10/2005,13,0,1,17,0
10/11/2005,22,0,2,11,0
10/12/2005,21,0,2,15,0
10/13/2005,29,0,2,11,1
10/14/2005,18,0,2,15,0
10/15/2005,25,0,0,14,0
10/16/2005,30,0,2,20,0
10/17/2005,58,0,1,29,1
10/18/2005,62,0,2,29,0
10/19/2005,21,0,2,17,0
10/20/2005,23,0,2,60,0
10/21/2005,25,0,2,27,0
10/22/2005,31,0,2,22,0
10/23/2005,41,0,2,23,0
10/24/2005,40,1,2,21,0
10/25/2005,23,0,2,18,0
10/26/2005,60,0,2,37,1
10/27/2005,100,1,2,22,0
