Day,Chicago White Sox: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States),Milwaukee Brewers: (United States)
10/1/2005,10,6,2,1,2
10/2/2005,12,6,2,1,2
10/3/2005,16,10,2,1,2
10/4/2005,28,10,3,1,1
10/5/2005,18,12,3,0,0
10/6/2005,26,10,3,1,1
10/7/2005,25,7,2,1,0
10/8/2005,21,16,2,0,0
10/9/2005,10,11,2,1,0
10/10/2005,13,15,2,1,0
10/11/2005,22,28,3,1,1
10/12/2005,21,18,2,1,1
10/13/2005,29,21,2,1,1
10/14/2005,18,20,2,0,1
10/15/2005,25,15,2,0,0
10/16/2005,30,16,2,2,0
10/17/2005,58,9,2,1,0
10/18/2005,62,4,4,0,1
10/19/2005,21,3,2,1,0
10/20/2005,23,4,2,1,1
10/21/2005,25,3,3,0,1
10/22/2005,31,3,2,0,1
10/23/2005,41,3,2,0,0
10/24/2005,40,3,2,0,1
10/25/2005,23,3,3,0,0
10/26/2005,60,3,1,0,1
10/27/2005,100,3,2,1,0
