Day,Chicago White Sox: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2005,10,8,0,2,4
10/2/2005,12,9,0,1,4
10/3/2005,16,10,0,1,2
10/4/2005,28,20,0,1,1
10/5/2005,18,8,0,2,1
10/6/2005,26,14,1,1,1
10/7/2005,25,8,1,1,1
10/8/2005,21,7,0,0,0
10/9/2005,10,13,0,1,1
10/10/2005,13,10,1,1,1
10/11/2005,22,13,1,1,2
10/12/2005,21,12,1,1,1
10/13/2005,29,14,1,0,1
10/14/2005,18,12,1,0,0
10/15/2005,25,11,1,0,2
10/16/2005,30,11,0,0,2
10/17/2005,58,13,0,1,1
10/18/2005,62,29,1,1,1
10/19/2005,21,19,0,1,0
10/20/2005,23,17,0,1,1
10/21/2005,25,5,1,1,1
10/22/2005,31,3,0,0,1
10/23/2005,41,4,0,0,0
10/24/2005,40,3,1,1,1
10/25/2005,23,3,0,0,1
10/26/2005,60,2,0,1,1
10/27/2005,100,3,1,1,1
