Day,Boston Red Sox: (United States),Arizona Diamondbacks: (United States),Athletics: (United States),Atlanta Braves: (United States),Baltimore Orioles: (United States)
10/1/2004,4,0,1,2,1
10/2/2004,5,1,1,2,1
10/3/2004,5,0,1,2,1
10/4/2004,6,0,1,2,<1
10/5/2004,11,0,<1,1,0
10/6/2004,7,<1,0,3,0
10/7/2004,10,0,<1,3,0
10/8/2004,12,0,0,2,0
10/9/2004,11,0,0,2,0
10/10/2004,10,0,0,4,0
10/11/2004,9,0,0,7,<1
10/12/2004,10,0,0,7,0
10/13/2004,15,0,0,1,0
10/14/2004,14,<1,<1,1,<1
10/15/2004,11,0,0,1,<1
10/16/2004,13,0,1,0,0
10/17/2004,18,0,0,1,0
10/18/2004,28,0,<1,1,0
10/19/2004,34,<1,0,1,0
10/20/2004,52,0,0,1,<1
10/21/2004,100,0,0,1,<1
10/22/2004,40,0,0,1,0
10/23/2004,32,0,0,1,1
10/24/2004,38,0,0,1,0
10/25/2004,31,0,0,<1,0
10/26/2004,21,0,0,1,0
10/27/2004,36,<1,0,0,0
10/28/2004,91,0,0,1,1
