Day,Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States),Cleveland Guardians: (United States)
10/1/2004,4,5,<1,1,1
10/2/2004,5,5,0,1,0
10/3/2004,5,4,0,1,1
10/4/2004,6,3,1,<1,1
10/5/2004,11,2,1,<1,1
10/6/2004,7,2,<1,<1,1
10/7/2004,10,2,0,<1,1
10/8/2004,12,1,1,<1,1
10/9/2004,11,1,1,0,0
10/10/2004,10,1,1,0,0
10/11/2004,9,1,1,<1,0
10/12/2004,10,2,0,0,0
10/13/2004,15,1,<1,0,0
10/14/2004,14,1,1,<1,0
10/15/2004,11,1,<1,<1,1
10/16/2004,13,1,1,0,0
10/17/2004,18,1,1,0,1
10/18/2004,28,1,1,<1,<1
10/19/2004,34,1,1,<1,1
10/20/2004,52,1,1,<1,1
10/21/2004,100,3,2,<1,1
10/22/2004,40,2,1,0,1
10/23/2004,32,1,1,0,0
10/24/2004,38,2,1,0,1
10/25/2004,31,2,1,<1,0
10/26/2004,21,2,1,<1,<1
10/27/2004,36,2,1,<1,1
10/28/2004,91,3,3,0,1
