Day,Boston Red Sox: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States),Kansas City Royals: (United States)
10/1/2004,4,0,1,2,0
10/2/2004,5,0,0,3,0
10/3/2004,5,0,1,5,0
10/4/2004,6,0,1,3,0
10/5/2004,11,0,1,2,0
10/6/2004,7,0,1,5,0
10/7/2004,10,0,1,5,0
10/8/2004,12,0,1,2,0
10/9/2004,11,0,0,3,0
10/10/2004,10,0,1,4,0
10/11/2004,9,0,1,4,0
10/12/2004,10,0,0,13,0
10/13/2004,15,0,1,4,0
10/14/2004,14,0,1,4,0
10/15/2004,11,0,1,4,0
10/16/2004,13,0,0,3,0
10/17/2004,18,0,0,5,0
10/18/2004,28,0,1,6,0
10/19/2004,34,0,1,8,0
10/20/2004,52,0,1,14,0
10/21/2004,100,0,1,10,0
10/22/2004,40,0,1,7,0
10/23/2004,32,0,0,1,0
10/24/2004,38,0,1,0,0
10/25/2004,31,0,1,1,0
10/26/2004,21,0,1,<1,0
10/27/2004,36,0,1,1,0
10/28/2004,91,0,1,1,<1
