Day,Boston Red Sox: (United States),St. Louis Cardinals: (United States),Tampa Bay Rays: (United States),Texas Rangers: (United States),Washington Nationals: (United States)
10/1/2004,4,2,0,<1,<1
10/2/2004,5,2,1,1,0
10/3/2004,5,2,0,0,0
10/4/2004,6,3,0,0,0
10/5/2004,11,8,0,<1,0
10/6/2004,7,3,0,<1,0
10/7/2004,10,3,0,<1,0
10/8/2004,12,3,0,0,0
10/9/2004,11,3,0,0,0
10/10/2004,10,3,0,0,0
10/11/2004,9,4,<1,<1,<1
10/12/2004,10,4,0,0,2
10/13/2004,15,5,0,<1,0
10/14/2004,14,5,<1,<1,0
10/15/2004,11,5,0,0,<1
10/16/2004,13,4,0,0,0
10/17/2004,18,4,0,0,0
10/18/2004,28,4,0,<1,<1
10/19/2004,34,4,0,0,0
10/20/2004,52,10,0,0,0
10/21/2004,100,11,0,1,0
10/22/2004,40,20,0,<1,0
10/23/2004,32,8,0,0,1
10/24/2004,38,9,0,0,1
10/25/2004,31,7,0,0,0
10/26/2004,21,6,0,0,0
10/27/2004,36,7,0,<1,0
10/28/2004,91,7,0,0,0
